,Model,Mileage in mi,Dealer Name,Rating,Rating Count,Price in $,Brand Name,Year
809,"['Escalade', 'ESV', 'Premium', 'Luxury']","39,558 mi.",Royal Buick GMC Cadillac Tucson,4.9,1494,"$69,990", Cadillac,2020
810,"['CT4', 'Luxury']","4,988 mi.",Crest Auto Group,4.5,565,"$37,465", Cadillac,2022
811,"['ATS', '2.0L', 'Turbo', 'Luxury']","23,875 mi.",Paul Conte Cadillac,4.8,1385,"$34,995", Cadillac,2019
812,"['CTS', '2.0L', 'Turbo', 'Luxury']","32,992 mi.",Cole Valley Cadillac,4.6,133,"$34,777", Cadillac,2019
813,"['ATS', '2.0L', 'Turbo', 'Luxury']","16,660 mi.",Big Star Cadillac,4.8,886,"$27,999", Cadillac,2018
814,"['XT6', 'Premium', 'Luxury', 'AWD']","26,111 mi.",Red Noland Cadillac,,0,"$53,989", Cadillac,2020
815,"['XT6', 'Premium', 'Luxury', 'FWD']","44,109 mi.",Mark Christopher Chevrolet Buick GMC Cadillac,4.4,7389,"$43,333", Cadillac,2020
816,"['XT6', 'Premium', 'Luxury', 'FWD']","31,791 mi.",John Elway Cadillac,4.8,287,"$47,000", Cadillac,2020
817,"['CT4', 'Premium', 'Luxury']","1,124 mi.",Randy Marion Chevrolet Buick of Mooresville,4.4,266,"$36,988", Cadillac,2020
818,"['CT5', 'Premium', 'Luxury', 'RWD']","1,538 mi.",Lone Star Cadillac,4.3,303,"$49,219", Cadillac,2022
819,"['CT5', 'Luxury', 'RWD']","30,436 mi.",Baker Buick GMC Cadillac,4.6,203,"$36,495", Cadillac,2020
820,"['XT4', 'Sport']","23,164 mi.",Boucher Cadillac of Waukesha,4.7,545,"$39,985", Cadillac,2020
821,"['CT4', 'Sport']","5,949 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,168,"$42,818", Cadillac,2021
822,"['CT6', '2.0L', 'Turbo', 'Luxury']","36,619 mi.",Cadillac of Las Vegas,4.7,299,"$38,998", Cadillac,2018
823,"['XT4', 'Premium', 'Luxury']","32,521 mi.",Tom Kelley Cadillac,4.9,436,"$33,908", Cadillac,2020
824,"['ATS', '2.0L', 'Turbo']","12,715 mi.",Ocean Cadillac,4.6,803,"$30,500", Cadillac,2019
825,"['CT4-V', 'V-Series']","2,185 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$54,900", Cadillac,2022
826,"['XT4', 'Sport']","59,143 mi.",Corwin Motors Kalispell,4.7,143,"$34,713", Cadillac,2019
827,"['Escalade', 'ESV', 'Platinum']","46,188 mi.",John Elway Cadillac,4.8,287,"$63,484", Cadillac,2018
828,"['CT6', 'Luxury']","16,781 mi.",Robert Basil Buick GMC Cadillac,4.5,236,"$59,916", Cadillac,2020
829,"['CT4', 'Luxury']","4,988 mi.",Crest Auto Group,4.5,565,"$37,465", Cadillac,2022
830,"['Escalade', 'ESV', 'Premium', 'Luxury']","39,558 mi.",Royal Buick GMC Cadillac Tucson,4.9,1494,"$69,990", Cadillac,2020
831,"['CT5', 'Luxury', 'RWD']","10,811 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$39,991", Cadillac,2021
832,"['ATS', '2.0L', 'Turbo', 'Luxury']","23,875 mi.",Paul Conte Cadillac,4.8,1385,"$34,995", Cadillac,2019
833,"['CTS', '2.0L', 'Turbo', 'Luxury']","32,992 mi.",Cole Valley Cadillac,4.6,133,"$34,777", Cadillac,2019
834,"['ATS', '2.0L', 'Turbo', 'Luxury']","16,660 mi.",Big Star Cadillac,4.8,886,"$27,999", Cadillac,2018
